model,roc_auc,pr_auc,log_loss,brier
baseline,0.5,0.4457702435813035,0.6873786377179578,0.24712092187173768
logreg,0.6357268505936725,0.6047593165458142,0.6552261344802971,0.23170173851065445
rf,0.6449300464497714,0.623240653405698,0.64453519308051,0.22721608540569554
xgb,0.6222352018357891,0.6021319595855581,0.6689226919777825,0.23707348108291626
xgb_calibrated,0.6262511479506007,0.6069369105806617,0.6561282958857252,0.232048522605187
